addr:249	 file:	 ram:01110110
addr:250	 file:	 ram:01101110
addr:251	 file:	 ram:01110111
addr:252	 file:	 ram:01100101
addr:253	 file:	 ram:01101100
addr:254	 file:	 ram:01100110
addr:255	 file:	 ram:01110111
addr:256	 file:	 ram:01101101
addr:257	 file:	 ram:01100100
addr:258	 file:	 ram:01101111
addr:259	 file:	 ram:01110100
addr:260	 file:	 ram:01100110
addr:261	 file:	 ram:01110101
addr:262	 file:	 ram:01110111
addr:263	 file:	 ram:01100100
addr:264	 file:	 ram:01101101
addr:265	 file:	 ram:01101111
addr:266	 file:	 ram:01110101
addr:267	 file:	 ram:01100110
addr:268	 file:	 ram:01110111
addr:269	 file:	 ram:01101111
addr:270	 file:	 ram:01101111
addr:271	 file:	 ram:01101110
addr:272	 file:	 ram:01100101
addr:295	 file:	 ram:01101101
addr:296	 file:	 ram:01101100
addr:297	 file:	 ram:01110111
addr:298	 file:	 ram:01100100
addr:299	 file:	 ram:01101111
addr:300	 file:	 ram:01101100
addr:301	 file:	 ram:01100110
addr:302	 file:	 ram:01101110
addr:303	 file:	 ram:01101100
addr:304	 file:	 ram:01101111
addr:305	 file:	 ram:01100100
addr:306	 file:	 ram:01100111
addr:307	 file:	 ram:01101110
addr:308	 file:	 ram:01110110
addr:309	 file:	 ram:01100110
addr:310	 file:	 ram:01111100
addr:311	 file:	 ram:01100111
addr:312	 file:	 ram:01101101
addr:313	 file:	 ram:01100110
addr:314	 file:	 ram:01100111
addr:315	 file:	 ram:01101110
addr:316	 file:	 ram:01111100
addr:317	 file:	 ram:01101101
addr:318	 file:	 ram:01110110
addr:319	 file:	 ram:01100111
addr:320	 file:	 ram:01101101
addr:321	 file:	 ram:01111100
addr:322	 file:	 ram:01100110
addr:323	 file:	 ram:01101110
addr:324	 file:	 ram:01100111
addr:325	 file:	 ram:01101101
addr:326	 file:	 ram:01110110
addr:327	 file:	 ram:01111100
addr:328	 file:	 ram:01101110
addr:329	 file:	 ram:01110110
addr:330	 file:	 ram:01101101
addr:331	 file:	 ram:01101110
addr:332	 file:	 ram:01100111
addr:333	 file:	 ram:01101101
addr:334	 file:	 ram:01111100
addr:335	 file:	 ram:01101110
addr:336	 file:	 ram:01100111
addr:337	 file:	 ram:01110110
addr:338	 file:	 ram:01101110
addr:339	 file:	 ram:01101111
addr:340	 file:	 ram:01100111
addr:341	 file:	 ram:01101100
