addr:336	 file:63	 ram:01100111
addr:338	 file:6A	 ram:01101110
addr:339	 file:6B	 ram:01101111
addr:341	 file:68	 ram:01101100
addr:342	 file:6A	 ram:01101110
addr:346	 file:68	 ram:01101100
addr:347	 file:6B	 ram:01101111
addr:352	 file:69	 ram:01101101
addr:353	 file:72	 ram:01110110
addr:355	 file:79	 ram:01111101
addr:358	 file:72	 ram:01110110
addr:359	 file:6A	 ram:01101110
addr:360	 file:68	 ram:01101100
addr:361	 file:69	 ram:01101101
addr:362	 file:73	 ram:01110111
addr:367	 file:6A	 ram:01101110
addr:368	 file:68	 ram:01101100
addr:370	 file:6B	 ram:01101111
addr:373	 file:6A	 ram:01101110
addr:375	 file:69	 ram:01101101
addr:377	 file:63	 ram:01100111
addr:378	 file:78	 ram:01111100
addr:379	 file:63	 ram:01100111
addr:381	 file:6A	 ram:01101110
addr:382	 file:78	 ram:01111100
addr:383	 file:68	 ram:01101100
addr:384	 file:6B	 ram:01101111
addr:385	 file:6A	 ram:01101110
addr:386	 file:72	 ram:01110110
addr:387	 file:69	 ram:01101101
addr:392	 file:68	 ram:01101100
addr:396	 file:61	 ram:01100101
addr:397	 file:6B	 ram:01101111
addr:398	 file:73	 ram:01110111
addr:399	 file:6A	 ram:01101110
addr:401	 file:6B	 ram:01101111
addr:402	 file:73	 ram:01110111
addr:404	 file:6A	 ram:01101110
addr:406	 file:73	 ram:01110111
addr:407	 file:6B	 ram:01101111
addr:408	 file:6A	 ram:01101110
addr:411	 file:68	 ram:01101100
addr:413	 file:68	 ram:01101100
addr:414	 file:6B	 ram:01101111
addr:419	 file:6B	 ram:01101111
addr:421	 file:6A	 ram:01101110
addr:424	 file:6B	 ram:01101111
addr:426	 file:6A	 ram:01101110
addr:429	 file:72	 ram:01110110
addr:430	 file:72	 ram:01110110
addr:436	 file:63	 ram:01100111
addr:437	 file:63	 ram:01100111
addr:438	 file:63	 ram:01100111
addr:441	 file:72	 ram:01110110
addr:442	 file:72	 ram:01110110
addr:446	 file:73	 ram:01110111
addr:450	 file:6B	 ram:01101111
addr:451	 file:6A	 ram:01101110
addr:452	 file:6B	 ram:01101111
addr:453	 file:6A	 ram:01101110
addr:455	 file:6B	 ram:01101111
addr:460	 file:6B	 ram:01101111
addr:462	 file:6A	 ram:01101110
addr:464	 file:69	 ram:01101101
addr:467	 file:69	 ram:01101101
addr:468	 file:72	 ram:01110110
addr:473	 file:6B	 ram:01101111
addr:476	 file:6A	 ram:01101110
addr:478	 file:6B	 ram:01101111
addr:480	 file:6A	 ram:01101110
addr:483	 file:63	 ram:01100111
addr:484	 file:6B	 ram:01101111
addr:485	 file:6A	 ram:01101110
addr:487	 file:6B	 ram:01101111
addr:488	 file:6A	 ram:01101110
addr:490	 file:73	 ram:01110111
addr:491	 file:6B	 ram:01101111
addr:494	 file:6A	 ram:01101110
addr:495	 file:69	 ram:01101101
addr:496	 file:72	 ram:01110110
addr:500	 file:72	 ram:01110110
addr:501	 file:69	 ram:01101101
addr:503	 file:70	 ram:01110100
addr:506	 file:69	 ram:01101101
addr:507	 file:72	 ram:01110110
addr:510	 file:6B	 ram:01101111
addr:511	 file:6A	 ram:01101110
addr:512	 file:61	 ram:01100101
addr:513	 file:73	 ram:01110111
addr:517	 file:78	 ram:01111100
addr:518	 file:62	 ram:01100110
addr:519	 file:63	 ram:01100111
addr:522	 file:6A	 ram:01101110
addr:524	 file:68	 ram:01101100
addr:525	 file:73	 ram:01110111
addr:526	 file:6B	 ram:01101111
addr:529	 file:69	 ram:01101101
addr:530	 file:72	 ram:01110110
addr:531	 file:79	 ram:01111101
addr:533	 file:6A	 ram:01101110
addr:534	 file:68	 ram:01101100
addr:535	 file:6B	 ram:01101111
addr:536	 file:6A	 ram:01101110
addr:537	 file:73	 ram:01110111
addr:538	 file:68	 ram:01101100
addr:541	 file:78	 ram:01111100
addr:544	 file:62	 ram:01100110
addr:545	 file:78	 ram:01111100
addr:547	 file:63	 ram:01100111
addr:548	 file:62	 ram:01100110
addr:551	 file:68	 ram:01101100
addr:552	 file:6A	 ram:01101110
addr:553	 file:6B	 ram:01101111
addr:554	 file:68	 ram:01101100
addr:555	 file:6A	 ram:01101110
addr:556	 file:6B	 ram:01101111
